n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,pairwise,fast_exact
SM,1000,0.11966538429260254,0.030120134353637695,0.041112422943115234,0.014374256134033203,0.014473438262939453,0.014433622360229492,5.7792651653289795,20.12573766708374
SM,2000,0.049524784088134766,0.05347490310668945,0.06462478637695312,0.014726638793945312,0.014751911163330078,0.014707803726196289,23.51383686065674,44.82915687561035
SM,3000,0.07958793640136719,0.07855057716369629,0.08928465843200684,0.01410984992980957,0.013902425765991211,0.014146089553833008,53.131813526153564,57.04410171508789
SM,4000,0.1028294563293457,0.10099029541015625,0.11170196533203125,0.014111042022705078,0.01394343376159668,0.014028549194335938,94.60956692695618,101.67365956306458
SM,5000,0.13762283325195312,0.1336214542388916,0.1452198028564453,0.013819456100463867,0.013792037963867188,0.013832807540893555,142.81620907783508,119.56860685348511
SM,6000,0.16874098777770996,0.17886853218078613,0.1781771183013916,0.014486312866210938,0.01453709602355957,0.01449441909790039,214.01246237754822,385.8936767578125
SM,7000,0.1976315975189209,0.1971888542175293,0.1991422176361084,0.014041662216186523,0.013759851455688477,0.013870954513549805,291.0433404445648,146.96340656280518
SM,8000,0.2232341766357422,0.21091747283935547,0.2264552116394043,0.01416778564453125,0.014131307601928711,0.014281034469604492,375.5534210205078,529.0822072029114
SM,9000,0.4196760654449463,0.23048853874206543,0.24868130683898926,0.014207124710083008,0.01405644416809082,0.013859987258911133,462.5350821018219,480.8973639011383
SM,10000,0.2432856559753418,0.24321246147155762,0.25281357765197754,0.013699531555175781,0.013526678085327148,0.013625621795654297,578.5020775794983,588.5799098014832
SM,11000,0.2675774097442627,0.2669663429260254,0.2767612934112549,0.014037132263183594,0.014017105102539062,0.01390695571899414,695.9461402893066,316.62230825424194
SM,12000,0.2870500087738037,0.28888750076293945,0.29790616035461426,0.01385188102722168,0.013743400573730469,0.013616800308227539,848.6787664890289,325.1790335178375
SM,13000,0.3183870315551758,0.31879305839538574,0.33120179176330566,0.014668703079223633,0.014679431915283203,0.014705419540405273,982.8355028629303,371.57497549057007
SM,14000,0.3434028625488281,0.3395979404449463,0.34969520568847656,0.014293909072875977,0.014364480972290039,0.01432180404663086,1161.8791093826294,648.8198444843292
SM,15000,0.36937570571899414,0.3716263771057129,0.3834364414215088,0.01503300666809082,0.01488804817199707,0.01483607292175293,1345.2571880817413,429.82875895500183
SM,16000,0.4946126937866211,0.38296079635620117,0.3936145305633545,0.01389932632446289,0.013913631439208984,0.014080286026000977,1518.6820480823517,459.1740770339966
SM,17000,0.4097168445587158,0.41073012351989746,0.4211573600769043,0.01442408561706543,0.014397859573364258,0.014328479766845703,1687.7313692569733,485.1378700733185
SM,18000,0.5958685874938965,0.43514156341552734,0.445310115814209,0.014269113540649414,0.014091014862060547,0.014127492904663086,1884.6720249652863,511.16028237342834
SM,19000,0.45993733406066895,0.4564085006713867,0.4680209159851074,0.014447450637817383,0.014262676239013672,0.014281749725341797,2102.4615993499756,542.7025954723358
SM,20000,0.5973272323608398,0.47540926933288574,0.4855618476867676,0.013956069946289062,0.013726234436035156,0.013761043548583984,2326.385797739029,573.4029197692871
SM,21000,0.6968610286712646,0.6949255466461182,0.696056604385376,0.014362096786499023,0.014583110809326172,0.014438629150390625,2552.138878107071,995.8767590522766
SM,22000,0.5277156829833984,0.523817777633667,0.5353314876556396,0.014649152755737305,0.014337539672851562,0.014208555221557617,2807.8187317848206,862.3916397094727
SM,23000,0.5499730110168457,0.5503649711608887,0.5593774318695068,0.014376401901245117,0.01443791389465332,0.014451265335083008,3070.2377350330353,1481.5608286857605
SM,24000,0.7338659763336182,0.5737340450286865,0.5818438529968262,0.014176368713378906,0.014041900634765625,0.014147520065307617,3417.6937165260315,887.9874370098114
SM,25000,0.591759443283081,0.5928575992584229,0.6038060188293457,0.014266252517700195,0.01417231559753418,0.01418614387512207,3680.5995376110077,1594.7504739761353
SM,26000,0.7671399116516113,0.6189725399017334,0.6284418106079102,0.014133930206298828,0.014163732528686523,0.01436305046081543,3879.0743923187256,844.503053188324
SM,27000,0.6416482925415039,0.6420753002166748,0.6524546146392822,0.014316558837890625,0.014006853103637695,0.014040946960449219,4198.781263828278,913.4803054332733
SM,28000,0.8604261875152588,0.6637563705444336,0.6743776798248291,0.014215946197509766,0.014037370681762695,0.01393890380859375,4436.80499458313,851.700665473938
SM,29000,0.8818929195404053,0.6841459274291992,0.6955678462982178,0.013807296752929688,0.013719320297241211,0.013995170593261719,4787.10636138916,889.9613800048828
SM,30000,0.8630146980285645,0.7071259021759033,0.7186803817749023,0.014174938201904297,0.013967752456665039,0.013895511627197266,5091.118748188019,812.1999881267548
SM,31000,0.9256162643432617,0.7300224304199219,0.7404825687408447,0.013863086700439453,0.013823747634887695,0.013856172561645508,5731.787141561508,1473.9220430850983
SM,32000,1.1283867359161377,0.9805736541748047,1.010392665863037,0.016891956329345703,0.016852140426635742,0.017076730728149414,10145.162293195724,2321.892153739929
SM,33000,0.9874534606933594,0.8157613277435303,0.8437047004699707,0.013935327529907227,0.013821125030517578,0.013895273208618164,11788.373943567276,2407.5635957717896
SM,34000,1.034857988357544,0.7914929389953613,0.802720308303833,0.013869524002075195,0.014023303985595703,0.013841867446899414,11969.775569915771,2150.7409660816193
SM,35000,1.1752197742462158,0.8965537548065186,0.9074697494506836,0.01401829719543457,0.013985633850097656,0.014207124710083008,8908.62345457077,1353.0891332626343
